yearID,lgID,league_wide_SLG,DH_rule
1980,NL,0.37447187349106714,No DH
2009,AL,0.4280125697428333,DH
1974,AL,0.3714644782266368,DH
2002,AL,0.42416568108191494,DH
2020,AL,0.4142283419391853,DH
1972,AL,0.3430127041742287,No DH
1987,AL,0.42548734884796774,DH
2005,AL,0.42438151249760275,DH
1963,AL,0.37981494610168876,No DH
1994,AL,0.4340555817239755,DH
2017,AL,0.4287641207216321,DH
1966,NL,0.3838403899972917,No DH
1985,NL,0.37380351879425083,No DH
1961,NL,0.4050987466767945,No DH
1998,AL,0.43150632523974697,DH
1949,AL,0.37886678346012626,No DH
2003,NL,0.4171736819487481,No DH
1976,NL,0.3611237730574042,No DH
1954,AL,0.37333269703405,No DH
1962,AL,0.3939607885732906,No DH
1970,NL,0.3919506507184232,No DH
1977,AL,0.4051374959560013,DH
1976,AL,0.3607919526411103,DH
1979,AL,0.4083880892782645,DH
1952,NL,0.3737284493051244,No DH
1992,AL,0.3850052497180707,DH
1982,NL,0.37268158700934156,No DH
1973,AL,0.381450298750679,DH
1972,NL,0.3645985170162875,No DH
2005,NL,0.41407172038129825,No DH
